小说名,总字数,总词数,成词率
吞噬星空,19073,15317,0.803072406
鬼吹灯,34055,29265,0.859345177
莽荒纪,19761,15700,0.794494206
重生之贼行天下,19513,16241,0.832316917
大主宰,18881,15756,0.834489699
将夜,17694,15125,0.85480954
斗破苍穹,17661,14801,0.838061265
雪鹰领主,16928,13557,0.800862476
完美世界,16284,13327,0.81841071
仙逆,15115,12255,0.810783989
校花的贴身高手,14048,11443,0.814564351
遮天,13279,11290,0.850214625
凡人修仙传,12850,11046,0.859610895
斗罗大陆,12134,10183,0.839212131
古剑仙踪,15125,12558,0.830280992
极限之门,18322,15302,0.835170833
步步惊唐,19306,15583,0.807158396
男儿行,23044,18909,0.820560667
死亡乐园,21307,17324,0.813066129
引魂曲,6603,5584,0.845676208
